Bank,SampleName,Signal,SubtitleKey,FR_Translation
Player,CIV_CONVERT_08,80,JWK-Speech-Player-CivConvert08,Vous en avez assez de leur botte sur votre cou ? Il est peut-être temps de riposter.
Player,CIV_CONVERT_09,81,JWK-Speech-Player-CivConvert09,Ordres ? Nous fabriquons nos propres ordres. Rejoignez-nous.
Player,CIV_CONVERT_10,82,JWK-Speech-Player-CivConvert10,"Une guerre se prépare, que vous soyez prêts ou non. Mieux vaut être du bon côté."
Player,CIV_EXTORT_01,83,JWK-Speech-Player-CivExtort01,"Je ne demanderai pas deux fois. De l'argent, maintenant."
Player,CIV_EXTORT_02,84,JWK-Speech-Player-CivExtort02,"Vous payez maintenant, ou vous saignez plus tard. Le calcul est simple."
Player,CIV_EXTORT_03,85,JWK-Speech-Player-CivExtort03,La protection n'est pas gratuite. Donnez-moi votre argent.
Player,CIV_EXTORT_04,86,JWK-Speech-Player-CivExtort04,C'est le moment où vous me donnez ce que je veux.
Player,CIV_EXTORT_05,87,JWK-Speech-Player-CivExtort05,Le dernier qui a dit non est encore en train de mâcher avec une paille.
Player,Q_PL_DOGTAGS_1,101,JWK-Speech-Player-Dogtags-1,Je suis prêt à faire tout ce qu'il faut pour aider notre cause.
Player,TURN_DOGTAGS,111,JWK-Speech-Player-TurnDogtags,De plus en plus d'ennemis mangent de la terre. En voici la preuve.
Player,LIBERATE_CALL_01,127,JWK-Speech-Player-Liberate01,"Sors d'ici, tu es libre."
Player,LIBERATE_CALL_02,128,JWK-Speech-Player-Liberate02,Je te sors d'ici.
PlayerActions,STOP_NPC_01,32,JWK-Speech-Player-StopNpc01,Attendez un peu.
PlayerActions,STOP_NPC_02,33,JWK-Speech-Player-StopNpc02,Excusez-moi.
PlayerActions,ASK_FOLLOW_01,129,JWK-Speech-Player-AskFollow01,Viens avec moi.
PlayerActions,ASK_FOLLOW_02,130,JWK-Speech-Player-AskFollow02,Suis-moi.
PlayerActions,ASK_STOP_FOLLOW_01,131,JWK-Speech-Player-StopFollow01,Reste ici.
PlayerActions,ASK_STOP_FOLLOW_02,132,JWK-Speech-Player-StopFollow02,Ne bouge plus.
ResistanceOfficer,DONT_CALL,11,JWK-Speech-RO-DontCall,N'appelez pas ce numéro.
ResistanceOfficer,HIDEOUT_NONE,14,JWK-Speech-RO-NoHideoutLocation,Je ne suis pas là. Contactez-moi quand les choses seront plus calmes.
ResistanceOfficer,HIDEOUT_OK_A,12,JWK-Speech-RO-HideoutLocationA,Aller aux coordonnées
ResistanceOfficer,HIDEOUT_OK_B,13,JWK-Speech-RO-HideoutLocationB,Assurez-vous que vous n'êtes pas suivi.
ResistanceOfficer,PASS_OK,15,JWK-Speech-RO-PassOK,"D'accord, continuez."
ResistanceOfficer,JOB_NONE,34,JWK-Speech-RO-NoJobAvailable,"Pas tout de suite, mais revenez plus tard."
ResistanceOfficer,JOB_DEAD_DROP,35,JWK-Speech-RO-JobDeadDrop,Vous appelez juste à temps. Prenez les instructions au point de chute aux coordonnées :
ResistanceOfficer,JOB_MEET,36,JWK-Speech-RO-JobMeet,Oui. Venez me rendre visite pour plus d'instructions.
ResistanceOfficer,JOB_GIVE_NOTE,37,JWK-Speech-RO-JobNote,Je suis heureux que vous soyez venu. Prenez cette note avec les instructions.
ResistanceOfficer,JOB_REPORT_OK,38,JWK-Speech-RO-JobReportOk01,C'est très bien. J'aimerais que nous ayons plus de gens comme vous dans nos rangs.
ResistanceOfficer,JOB_REQ_REPORT_PERSON,47,JWK-Speech-RO-JobReqReportPerson01,Faites-moi un rapport en personne une fois le travail terminé.
ResistanceOfficer,RADIO_CALLOUT_ANSWER,39,JWK-Speech-RO-RadioCalloutAnswer,"Fort et clair, terminé."
ResistanceOfficer,TURN_DOGTAGS_REPLY,112,JWK-Speech-RO-TurnDogtagsReply,"Bon travail, voici votre récompense."
ResistanceOfficer,POSTERS_ALREADY_HAVE,49,JWK-Speech-RO-PostersAlreadyHave,Vous avez déjà assez d'affiches avec vous. Il est trop dangereux d'en porter davantage.
ResistanceOfficer,POSTERS_COME_LATER,50,JWK-Speech-RO-PostersComeLater,Je n'en ai plus pour le moment.
ResistanceOfficer,POSTERS_NO_SPACE,51,JWK-Speech-RO-PostersNoSpace,Faites de la place dans votre sac si vous voulez les affiches.
ResistanceOfficer,POSTERS_OK,52,JWK-Speech-RO-PostersOk,Voila.
ResistanceOfficerJobs,J_RO_JOB_RESIGN_01,122,JWK-Speech-RO-JobResign01,Dommage... C'était important.
ResistanceOfficerJobs,J_RO_JOB_RESIGN_02,123,JWK-Speech-RO-JobResign02,Pfff... Je pensais que tu en étais capable.
ResistanceOfficerJobs,J_RO_JOB_RESIGN_03,124,JWK-Speech-RO-JobResign03,Réfléchis à deux fois avant de me faire perdre mon temps à nouveau.
ResistanceOfficerJobs,J_RO_NEW_DELIVER_ITEM,125,JWK-Speech-RO-Job-DeliverItem,Prends cette mallette. Je veux que tu la remettes à quelqu'un. Ne regarde pas à l'intérieur.
ResistanceOfficerQuests,Q_RO_INTRO_1,43,JWK-Speech-RO-Intro-1,"Très bien. Mais nous avons besoin de plus de monde avant de prendre les armes. En fait, il y a quelque chose que vous pouvez faire pour nous."
ResistanceOfficerQuests,Q_RO_POSTERS_1,44,JWK-Speech-RO-Posters-1,Nous devons faire passer le message. Visitez les villes voisines et accrochez des affiches révolutionnaires.
ResistanceOfficerQuests,Q_RO_POSTERS_2,45,JWK-Speech-RO-Posters-2,"Recherchez des panneaux, des vitrines, des enseignes et d'autres éléments qui attirent l'attention."
ResistanceOfficerQuests,Q_RO_POSTERS_3,46,JWK-Speech-RO-Posters-3,"C'est illégal, assurez-vous de ne pas être vu en train de les installer, ou au moins de ne pas vous faire tuer."
ResistanceOfficerQuests,Q_RO_DOGTAGS_1,102,JWK-Speech-RO-Dogtags-1,Vous voulez passer à la vitesse supérieure ?
ResistanceOfficerQuests,Q_RO_DOGTAGS_2,103,JWK-Speech-RO-Dogtags-2,Nous avons mis en place un... euh... système d'incitation en quelque sorte.
ResistanceOfficerQuests,Q_RO_DOGTAGS_3,104,JWK-Speech-RO-Dogtags-3,Certains amis de notre cause offrent de l'argent pour chaque soldat ennemi éliminé.
ResistanceOfficerQuests,Q_RO_DOGTAGS_4,105,JWK-Speech-RO-Dogtags-4,"Ils ne nous croient pas sur parole, mais les plaques d'identification de l'ennemi sont une preuve solide."
ResistanceOfficerQuests,Q_RO_DOGTAGS_5,106,JWK-Speech-RO-Dogtags-5,Apportez-m'en une poignée si vous ne plaisantez pas.
ResistanceOfficerQuests,Q_RO_FOB_1,107,JWK-Speech-RO-Fob-1,Votre prochaine tâche consiste à mettre en place une base d'opérations sur le terrain.
ResistanceOfficerQuests,Q_RO_FOB_2,108,JWK-Speech-RO-Fob-2,Choisissez un bon endroit pour l'installer. Vous pouvez utiliser votre carte pour vérifier quelles zones sont trop dangereuses.
ResistanceOfficerQuests,Q_RO_FOB_3,109,JWK-Speech-RO-Fob-3,"Vous aurez besoin d'un peu d'argent pour démarrer. Oh, et n'oubliez pas une pelle."
ResistanceOperative,DELIVER_ITEM_OK,126,JWK-Speech-ROB-ItemDelivered,Je t'attendais. Merci pour la livraison.
Player,ASK_HIDEOUT_LOCATION_01,997,JWK-ConvoChoice-AskHideoutLocation,Où se trouve la planque la plus proche ?
MilitaryPolice,MP_RESISTANCE_REPORT_REPLY_NEG,998,JWK-Speech-Side-ResistanceReportReplyNeg,Nous n'avons aucun signalement à cet endroit.
